Date,Open,High,Low,Close,Adj Close,Volume
2023-06-12,4040.000000,4050.000000,4010.000000,4050.000000,3816.792725,94687300
2023-06-13,4040.000000,4060.000000,4030.000000,4030.000000,3797.944336,69609000
2023-06-14,4020.000000,4040.000000,3990.000000,4000.000000,3769.671875,110730800
2023-06-15,3990.000000,4040.000000,3980.000000,4020.000000,3788.520264,85391800
2023-06-16,4020.000000,4030.000000,3960.000000,3970.000000,3741.399414,160978900
2023-06-19,3960.000000,3990.000000,3950.000000,3960.000000,3731.975098,54934100
2023-06-20,3980.000000,3990.000000,3950.000000,3990.000000,3760.247803,55155600
2023-06-21,3970.000000,3980.000000,3950.000000,3980.000000,3750.823486,60191300
2023-06-22,3980.000000,3990.000000,3940.000000,3940.000000,3713.126953,56150900
2023-06-23,3940.000000,3960.000000,3940.000000,3950.000000,3722.551025,41812400
2023-06-26,3940.000000,3990.000000,3940.000000,3990.000000,3760.247803,36011500
2023-06-27,4030.000000,4030.000000,3990.000000,4000.000000,3769.671875,64879900
2023-07-03,4030.000000,4030.000000,3970.000000,4000.000000,3769.671875,75193200
2023-07-04,4000.000000,4010.000000,3970.000000,3970.000000,3741.399414,33974300
2023-07-05,3970.000000,3980.000000,3950.000000,3980.000000,3750.823486,43303000
2023-07-06,3970.000000,3990.000000,3960.000000,3960.000000,3731.975098,68088900
2023-07-07,3960.000000,3980.000000,3950.000000,3960.000000,3731.975098,50474800
2023-07-10,3960.000000,3980.000000,3940.000000,3950.000000,3722.551025,65643300
2023-07-11,3950.000000,3990.000000,3950.000000,3980.000000,3750.823486,89768500
2023-07-12,3980.000000,4010.000000,3970.000000,3980.000000,3750.823486,73770400
2023-07-13,3960.000000,3970.000000,3910.000000,3920.000000,3694.278564,83009900
2023-07-14,3960.000000,3960.000000,3920.000000,3930.000000,3703.702637,64886900
2023-07-17,3950.000000,3970.000000,3910.000000,3910.000000,3684.854248,81399700
2023-07-18,3930.000000,3930.000000,3820.000000,3850.000000,3628.309326,135860500
2023-07-20,3820.000000,3860.000000,3810.000000,3850.000000,3628.309326,88907600
2023-07-21,3840.000000,3870.000000,3840.000000,3860.000000,3637.733398,53955100
2023-07-24,3880.000000,3930.000000,3870.000000,3900.000000,3675.430176,80710100
2023-07-25,3920.000000,3920.000000,3880.000000,3880.000000,3656.581787,66434400
2023-07-26,3890.000000,3900.000000,3830.000000,3880.000000,3656.581787,86732900
2023-07-27,3840.000000,3860.000000,3720.000000,3720.000000,3505.794922,235026400
2023-07-28,3710.000000,3750.000000,3690.000000,3720.000000,3505.794922,181626700
2023-07-31,3700.000000,3750.000000,3670.000000,3720.000000,3505.794922,153583300
2023-08-01,3700.000000,3780.000000,3700.000000,3750.000000,3534.067383,97680500
2023-08-02,3740.000000,3740.000000,3680.000000,3690.000000,3477.522461,121333500
